time,temperature,humidity,pressure
2014-02-20T19:20:00,6,87,1003
2014-02-20T20:50:00,7,81,1001
2014-02-20T22:50:00,6,87,1000
2014-02-20T14:50:00,6,93,1005
2014-02-20T23:50:00,5,93,1000
2014-02-20T21:00:00,6,77,1002
2014-02-20T09:50:00,5,93,1008
2014-02-20T16:20:00,6,87,1004
2014-02-20T18:20:00,6,87,1003
2014-02-20T03:00:00,5,90,1008
2014-02-20T12:20:00,6,93,1007
2014-02-20T22:20:00,6,87,1001
2014-02-20T12:00:00,6,84,1008
2014-02-20T12:50:00,6,87,1007
2014-02-20T01:00:00,5,86,1008
2014-02-20T15:00:00,6,86,1006
2014-02-20T15:20:00,6,93,1005
2014-02-20T13:50:00,6,87,1006
2014-02-20T02:00:00,5,89,1008
2014-02-20T18:00:00,6,80,1004
2014-02-20T02:20:00,5,93,1007
2014-02-20T16:00:00,6,85,1005
2014-02-20T18:50:00,6,87,1003
2014-02-20T23:20:00,5,93,1000
2014-02-20T14:20:00,6,93,1006
2014-02-21T05:00:00,6,91,997
2014-02-21T23:00:00,4,76,1003
2014-02-21T05:20:00,6,93,997
2014-02-21T12:00:00,8,64,1000
2014-02-21T08:00:00,7,89,998
2014-02-21T12:20:00,8,71,999
